Employee ID,Pay Period Start,Pay Period End,Regular Hours,Overtime Hours,Gross Pay,Benefits Deduction,Tax Withholding
EMP001,2025-11-17,2025-11-30,80.0,5.0,4250.00,350.00,850.00
EMP002,2025-11-17,2025-11-30,80.0,0.0,3800.00,320.00,760.00
EMP003,2025-11-17,2025-11-30,76.0,0.0,3200.00,280.00,640.00
EMP004,2025-11-17,2025-11-30,80.0,2.0,2950.00,250.00,590.00
EMP005,2025-11-17,2025-11-30,80.0,8.0,5100.00,420.00,1020.00
EMP001,2025-12-01,2025-12-14,80.0,3.0,4150.00,350.00,830.00
EMP002,2025-12-01,2025-12-14,80.0,0.0,3800.00,320.00,760.00
EMP003,2025-12-01,2025-12-14,80.0,0.0,3368.00,280.00,673.60
EMP004,2025-12-01,2025-12-14,80.0,0.0,2880.00,250.00,576.00
EMP005,2025-12-01,2025-12-14,80.0,10.0,5250.00,420.00,1050.00
